"filename", "language", "XML", "JSON with Comments", "Markdown", "JavaScript", "JavaScript JSX", "JSON", "CSS", "CSV", "comment", "blank", "total"
"c:\Users\21365\Desktop\op\gis\components\pipe\Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 3, 3, 29
"c:\Users\21365\Desktop\op\gis\components\pipe\Chart.jsx", "JavaScript JSX", 0, 0, 0, 0, 77, 0, 0, 0, 0, 3, 80
"c:\Users\21365\Desktop\op\gis\components\pipe\FormSteps.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 4, 43
"c:\Users\21365\Desktop\op\gis\components\pipe\Table.jsx", "JavaScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 6, 3, 103
"c:\Users\21365\Desktop\op\gis\components\shared\Circle.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 2, 6, 69
"c:\Users\21365\Desktop\op\gis\components\shared\LeftSideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 1, 2, 51
"c:\Users\21365\Desktop\op\gis\components\shared\RightSideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\21365\Desktop\op\gis\components\ui\badge.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\21365\Desktop\op\gis\components\ui\button.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"c:\Users\21365\Desktop\op\gis\components\ui\calendar.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 4, 63
"c:\Users\21365\Desktop\op\gis\components\ui\checkbox.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\21365\Desktop\op\gis\components\ui\command.jsx", "JavaScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 17, 124
"c:\Users\21365\Desktop\op\gis\components\ui\dialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 14, 97
"c:\Users\21365\Desktop\op\gis\components\ui\dropdown-menu.jsx", "JavaScript JSX", 0, 0, 0, 0, 139, 0, 0, 0, 0, 19, 158
"c:\Users\21365\Desktop\op\gis\components\ui\form.jsx", "JavaScript JSX", 0, 0, 0, 0, 111, 0, 0, 0, 0, 23, 134
"c:\Users\21365\Desktop\op\gis\components\ui\input.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\21365\Desktop\op\gis\components\ui\label.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 6, 19
"c:\Users\21365\Desktop\op\gis\components\ui\menubar.jsx", "JavaScript JSX", 0, 0, 0, 0, 164, 0, 0, 0, 0, 20, 184
"c:\Users\21365\Desktop\op\gis\components\ui\pagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 0, 10, 101
"c:\Users\21365\Desktop\op\gis\components\ui\popover.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 7, 28
